,0
0,7380.75
1,6859.84
2,6495.31
3,6386.63
4,6617.63
5,7308.19
6,7999.41
7,8064.19
8,7836.62
9,7663.85
10,7357.17
11,7321.09
12,7107.26
13,7102.15
14,7280.31
15,7660.61
16,8052.47
17,8459.65
18,8394.8
19,8317.72
20,7949.77
21,7606.18
22,7445.58
23,7197.12
24,6963.17
25,6451.45
26,6124.4
27,6088.95
28,6382.46
29,7076.98
30,7834.03
31,8041.08
32,7841.96
33,7287.8
34,7266.58
35,7028.14
36,7080.31
37,7002.55
38,7023.09
39,7339.92
40,7943.02
41,8131.81
42,8201.04
43,8148.41
44,7738.15
45,7478.65
46,7326.16
47,7096.47
48,6831.85
49,6368.14
50,6052.78
51,6053.69
52,6340.1
53,6990.17
54,7720.04
55,7683.26
56,7303.04
57,6940.05
58,6649.89
59,6532.98
60,6597.36
61,6739.95
62,6985.34
63,7524.78
64,8206.88
65,8759.28
66,8851.2
67,8685.0
68,8212.91
69,7731.97
70,7559.15
71,7198.04
72,6932.96
73,6462.96
74,6119.14
75,6158.5
76,6381.92
77,7114.46
78,7724.6
79,7751.32
80,7448.48
81,7138.87
82,7145.26
83,6941.31
84,6615.47
85,6621.87
86,6822.19
87,7278.3
88,7720.58
89,8029.68
90,8067.48
91,7946.95
92,7654.96
93,7431.72
94,7343.19
95,7135.12
96,6882.37
97,6410.16
98,6089.11
99,5944.09
100,6046.85
101,6329.38
102,6661.97
103,6982.94
104,6834.15
105,6405.27
106,6209.5
107,6232.85
108,6018.13
109,5912.13
110,6024.59
111,6341.67
112,6840.96
113,7444.75
114,7653.51
115,7622.68
116,7204.99
117,7029.64
118,6962.82
119,6701.01
120,6466.06
121,6059.35
122,5813.86
123,5739.67
124,5780.68
125,6007.16
126,6228.09
127,6355.67
128,6263.45
129,6056.09
130,5984.3
131,5892.92
132,5834.21
133,5862.88
134,6035.51
135,6526.17
136,7244.54
137,8079.49
138,8042.57
139,8042.14
140,7617.61
141,7294.02
142,7036.0
143,6739.56
144,6505.37
145,6147.85
146,5998.33
147,5990.42
148,6267.22
149,6983.95
150,7645.54
151,7906.19
152,7821.13
153,7645.68
154,7485.58
155,7634.32
156,8112.34
157,8959.61
158,8774.77
159,8883.32
160,8945.63
161,8858.38
162,8773.59
163,8654.49
164,8180.41
165,7799.97
166,7544.0
167,7273.09
168,6996.52
169,6501.39
170,6215.01
171,6116.67
172,6409.94
173,7011.87
174,7809.11
175,7865.61
176,7710.45
177,7398.95
178,7284.74
179,7364.16
180,7606.9
181,7793.09
182,8161.14
183,8599.15
184,8914.52
185,9106.55
186,8921.44
187,8670.9
188,8234.32
189,7894.82
190,7618.84
191,7291.08
192,6982.33
193,6494.46
194,6178.89
195,6158.81
196,6409.04
197,7056.38
198,7791.14
199,7967.35
200,7927.61
201,7783.61
202,7620.78
203,7478.99
204,7579.3
205,7664.3
206,7841.75
207,8314.82
208,8712.84
209,8795.09
210,8649.29
211,8480.46
212,8047.16
213,7732.69
214,7567.36
215,7333.09
216,7047.49
217,6539.74
218,6223.81
219,6154.39
220,6459.3
221,7162.31
222,7944.39
223,8191.14
224,8256.13
225,8153.78
226,8106.11
227,8017.67
228,8201.18
229,8144.79
230,8214.98
231,8287.67
232,8837.42
233,9028.59
234,8997.76
235,8768.07
236,8284.77
237,7877.46
238,7745.09
239,7466.78
240,7156.78
241,6687.28
242,6290.6
243,6308.04
244,6594.0
245,7247.56
246,8056.76
247,8354.71
248,8303.37
249,8235.04
250,8118.82
251,7975.21
252,7916.46
253,8011.66
254,8267.56
255,8541.07
256,8667.79
257,8740.03
258,8732.51
259,8603.29
260,8225.41
261,7984.1
262,7812.76
263,7541.77
264,7162.5
265,6531.4
266,6196.89
267,6091.57
268,6161.37
269,6458.4
270,6862.23
271,7200.3
272,7280.71
273,7020.06
274,6845.07
275,7124.16
276,7519.65
277,7877.99
278,8299.43
279,8862.28
280,9337.36
281,9587.3
282,9399.08
283,9105.64
284,8382.68
285,8257.63
286,7997.84
287,7473.85
288,7157.65
289,6700.39
290,6367.18
291,6296.22
292,6251.94
293,6457.94
294,6671.99
295,7058.04
296,7394.01
297,7492.43
298,7374.06
299,7289.29
300,7119.03
301,7022.79
302,7115.17
303,7274.71
304,7675.22
305,8050.23
306,7956.99
307,7696.41
308,7326.22
309,6975.34
310,6793.4
311,6557.98
312,6313.85
313,5969.96
314,5694.03
315,5744.75
316,6020.93
317,6720.64
318,7619.84
319,7721.9
320,7294.55
321,6890.11
322,6557.85
323,6544.92
324,6515.71
325,6492.71
326,6616.16
327,6962.19
328,7468.69
329,8060.39
330,8177.69
331,8005.08
332,7573.62
333,7274.84
334,7184.81
335,6955.38
336,6743.32
337,6314.55
338,5984.86
339,5890.23
340,6186.56
341,6938.71
342,7778.06
343,7895.63
344,7733.81
345,7440.22
346,7029.92
347,7085.09
348,7399.55
349,7467.85
350,7482.83
351,7672.84
352,8097.72
353,8393.76
354,8507.87
355,8198.43
356,7775.97
357,7462.84
358,7345.78
359,7056.88
360,6849.85
361,6353.34
362,5999.4
363,5981.55
364,6237.05
365,6985.1
366,7821.44
367,8060.23
368,7841.94
369,7755.16
370,7595.23
371,7511.38
372,7474.37
373,7370.84
374,7460.35
375,7795.99
376,8143.58
377,8471.23
378,8496.3
379,8271.57
380,7735.99
381,7503.12
382,7417.91
383,7172.39
384,6906.74
385,6443.75
386,6109.74
387,6076.82
388,6358.41
389,7014.83
390,7934.14
391,8342.77
392,8296.53
393,8219.39
394,8230.08
395,8125.59
396,8055.12
397,7955.58
398,7919.26
399,8157.49
400,8450.32
401,8716.15
402,8708.41
403,8367.02
404,7994.74
405,7617.59
406,7554.87
407,7299.8
408,7045.03
409,6508.95
410,6124.45
411,6112.6
412,6319.97
413,6966.92
414,7891.55
415,8194.53
416,8164.95
417,8091.18
418,7923.22
419,7659.14
420,7433.03
421,7484.26
422,7506.3
423,7712.3
424,7974.71
425,8174.83
426,8199.56
427,8003.33
428,7659.97
429,7500.51
430,7446.64
431,7250.5
432,6949.06
433,6418.93
434,6109.07
435,5936.53
436,6042.67
437,6287.46
438,6689.08
439,7283.59
440,7783.26
441,7694.4
442,7899.56
443,7765.16
444,7551.39
445,7534.8
446,7565.58
447,7678.82
448,7820.05
449,7981.73
450,8017.04
451,7753.62
452,7413.92
453,7191.96
454,7095.22
455,6778.38
456,6573.65
457,6150.68
458,5908.07
459,5828.9
460,5837.68
461,6013.71
462,6324.14
463,6905.73
464,7471.76
465,7722.32
466,7730.96
467,7668.08
468,7629.43
469,7528.7
470,7495.09
471,7627.7
472,7883.47
473,8237.31
474,8208.32
475,7859.14
476,7526.53
477,7132.83
478,7005.25
479,6770.61
480,6502.21
481,6125.15
482,5899.49
483,5900.38
484,6118.33
485,6865.5
486,7741.41
487,8278.61
488,8442.35
489,8402.85
490,8430.98
491,8435.17
492,8364.14
493,8311.77
494,8248.14
495,8453.5
496,8718.37
497,8911.03
498,8789.45
499,8305.66
500,7852.36
501,7558.73
502,7456.09
503,7316.48
504,7108.27
505,6606.59
506,6201.5
507,6173.73
508,6409.64
509,7029.17
510,7909.61
511,8444.23
512,8658.41
513,8685.27
514,8651.0
515,8541.53
516,8481.67
517,8394.39
518,8012.84
519,8258.65
520,8426.28
521,8722.35
522,8798.08
523,8390.42
524,7865.02
525,7575.5
526,7425.46
527,7146.12
528,6880.99
529,6407.2
530,5991.85
531,5898.87
532,6123.53
533,6787.42
534,7595.24
535,7789.42
536,7394.95
537,7057.46
538,6862.08
539,6837.68
540,6877.87
541,6921.33
542,7085.77
543,7391.38
544,7934.05
545,8484.88
546,8568.43
547,8257.74
548,7758.3
549,7472.29
550,7240.85
551,7021.44
552,6807.76
553,6339.91
554,5973.37
555,5924.59
556,6208.47
557,6897.62
558,7679.09
559,7736.85
560,7479.59
561,7069.93
562,6723.64
563,6762.82
564,6982.52
565,7265.23
566,7168.71
567,7404.93
568,8073.73
569,8378.0
570,8500.67
571,8310.84
572,7868.47
573,7505.73
574,7344.8
575,7175.79
576,6908.32
577,6394.64
578,6036.34
579,6052.73
580,6254.94
581,6923.34
582,7736.08
583,7818.07
584,7282.26
585,6760.83
586,6601.88
587,6387.83
588,6376.67
589,6442.85
590,6519.45
591,6977.94
592,7591.1
593,7945.19
